created_at,source,text,userid_str,status_id_str,id,reply_userid_str,reply_status_id_str,name,birth,term_partisanship,term_type,term_state
2021-11-29T21:14:41Z,"[{'url': 'https://t.co/3WqkCX6JkZ', 'expanded_url': 'https://twitter.com/FoxNews/status/1464640166094647307', 'display_url': 'twitter.com/FoxNews/status…', 'indices': [266, 289]}]","Skipping ""Xi"" to avoid offending the Chinese Communist Party is absolutely ridiculous.

It is clear that the WHO is STILL doing the CCP's bidding.

Rep. Roy is proud to lead the fight in Congress to ensure that the WHO doesn't receive ONE CENT of US taxpayer money. https://t.co/3WqkCX6JkZ",1082790600292925440,1465429027758432258,6025180,NA,NA,Chip Roy,1972-08-07,Republican,rep,TX
2021-11-29T21:16:28Z,"[{'url': 'https://t.co/IouokNxVXb', 'expanded_url': 'https://www.propublica.org/article/operation-fox-hunt-how-china-exports-repression-using-a-network-of-spies-hidden-in-plain-sight', 'display_url': 'propublica.org/article/operat…', 'indices': [159, 182]}]","This chilling chronicle shows the brazenness of Chinese communist agents operating in the US to kidnap people and deliver them to China's brutal dictatorship.
https://t.co/IouokNxVXb",74508260,1465429477782175758,6025886,NA,NA,"Bill Pascrell, Jr.",1937-01-25,Democrat,rep,NJ
2021-11-29T21:21:40Z,"[{'url': 'https://t.co/ORNRPrcdGJ', 'expanded_url': 'https://www.bbc.com/news/world-asia-china-59229935', 'display_url': 'bbc.com/news/world-asi…', 'indices': [219, 242]}]","With Communist General Secretary Xi Jinping recently named dictator for life, and China's violent persecution of Uyghurs, China's threat to human rights and freedom is growing to alarming levels we cannot be asleep to.
https://t.co/ORNRPrcdGJ",74508260,1465430784748236806,6025885,74508260,1465429477782175758,"Bill Pascrell, Jr.",1937-01-25,Democrat,rep,NJ
2021-11-29T21:36:30Z,[],The US must keep our rightful place as a global leader in innovation and technology by investing in the electric vehicles of the future. We cannot cede our leadership to China! https://t.co/1Src54L7OL,2970279814,1465434520614809601,6025760,NA,NA,Debbie Dingell,1953-11-23,Democrat,rep,MI
2021-11-29T22:00:59Z,"[{'url': 'https://t.co/RBXzr5cBYo', 'expanded_url': 'https://www.wsj.com/articles/chinas-response-to-peng-shuai-allegations-follows-familiar-pattern-11637835662?mod=Searchresults_pos2&page=1', 'display_url': 'wsj.com/articles/china…', 'indices': [250, 273]}]","The IOC is glossing over China's mistreatment and abuse of #PengShuai. Like many across the world and in the international sports community, I share deep concerns over Peng Shuai's mental and physical wellbeing and her ability to speak freely. (1/2)
https://t.co/RBXzr5cBYo",816303263586914304,1465440680889753609,6025995,NA,NA,Brian K. Fitzpatrick,1973-12-17,Republican,rep,PA
2021-11-29T23:00:00Z,"[{'url': 'https://t.co/flkB2giWqj', 'expanded_url': 'https://twitter.com/SaharaReporters/status/1464248149661433859', 'display_url': 'twitter.com/SaharaReporter…', 'indices': [282, 305]}]","No surprise that #Uganda is forced to surrender its only international airport to the #CCP for defaulting on their predatory loan scheme. 

Loans from China's Belt &amp; Road Initiative are only intended to increase the CCP's corrosive influence abroad, not help countries in need. https://t.co/flkB2giWqj",229966028,1465455532982996994,6025569,NA,NA,Marco Rubio,1971-05-28,Republican,sen,FL
2021-11-29T23:30:00Z,[],"It's so important that the U.S. stand up for the values of democracy across the world. Despite threats from China, I was proud to travel to Taiwan as part of a bipartisan delegation and meet President Tsai Ing-wen to reaffirm our commitment to Taiwan and its self-determination. https://t.co/aGiBcPVe1x",1078355119920562176,1465463081237057537,6025066,NA,NA,Colin Z. Allred,1983-04-15,Democrat,rep,TX
2021-11-29T23:36:20Z,[],"Developing and re-shoring key technologies impacting nat'l security will create jobs &amp; boost American supply chains &amp; security. By creating greater permitting process certainty, we will win the strategic competition with Communist China to develop the technologies of tomorrow.",1346873610875654147,1465464676142272513,6025395,1346873610875654147,1465464674426753035,Bill Hagerty,1959-08-14,Republican,sen,TN
2021-11-29T23:39:50Z,"[{'url': 'https://t.co/fPvqCXgXmo', 'expanded_url': 'https://twitter.com/adrianzenz/status/1465409699575042050', 'display_url': 'twitter.com/adrianzenz/sta…', 'indices': [137, 160]}]","This is completely unacceptable! If China wants to be welcomed as a respectable country, it must stop the genocide in Xinjiang Province. https://t.co/fPvqCXgXmo",1080477288955826176,1465465557109587968,6025097,NA,NA,Mark E. Green,1964-11-08,Republican,rep,TN
2021-11-29T23:53:17Z,"[{'url': 'https://t.co/dsrKMkf1oY', 'expanded_url': 'https://twitter.com/jamiedupree/status/1465463063830835204', 'display_url': 'twitter.com/jamiedupree/st…', 'indices': [287, 310]}]","Shameful. While China militarizes islands in the South China Sea, builds infrastructure across 65 countries, &amp; spends all day trying to displace us, Senate R’s remain impotent &amp; feckless when it comes to making any decision that doesn’t include some crass political calculation. https://t.co/dsrKMkf1oY",13491312,1465468939840983043,6025412,NA,NA,Tim Ryan,1973-07-16,Democrat,rep,OH
