,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_score,precision,recall,specificity
85,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.762,0.767,0.749,0.787,0.736
86,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.745,0.75,0.734,0.768,0.722
87,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.756,0.778,0.714,0.855,0.657
88,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.77,0.764,0.785,0.744,0.797
89,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.778,0.77,0.801,0.741,0.816
90,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.802,0.795,0.824,0.768,0.836
91,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.819,0.898,0.816,0.998,0.118
92,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.824,0.9,0.821,0.996,0.15
93,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.825,0.901,0.82,0.999,0.145
94,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.829,0.902,0.833,0.984,0.225
95,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.836,0.905,0.838,0.985,0.252
96,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.841,0.908,0.841,0.986,0.271
97,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.824,0.9,0.822,0.996,0.153
98,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.823,0.9,0.819,0.998,0.138
