,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
67,Multinomial Naive Bayes,active_learning,True,50,True,"[0.5, 0.25, 0.25]",207,102,108,0.485,0.611,0.611,0.607,0.607,0.611,0.612,0.612,0.611,0.611,0.611
68,Multinomial Naive Bayes,active_learning,True,50,True,"[0.6, 0.2, 0.2]",249,81,87,0.483,0.621,0.621,0.617,0.617,0.621,0.617,0.617,0.621,0.621,0.621
69,Multinomial Naive Bayes,active_learning,True,50,True,"[0.8, 0.1, 0.1]",333,39,45,0.613,0.6,0.6,0.594,0.594,0.6,0.613,0.613,0.6,0.6,0.6
70,Multinomial Naive Bayes,active_learning,True,50,False,"[0.5, 0.25, 0.25]",207,102,108,0.52,0.62,0.62,0.592,0.592,0.62,0.607,0.607,0.62,0.62,0.62
71,Multinomial Naive Bayes,active_learning,True,50,False,"[0.6, 0.2, 0.2]",249,81,87,0.483,0.621,0.621,0.597,0.597,0.621,0.636,0.636,0.621,0.621,0.621
72,Multinomial Naive Bayes,active_learning,True,50,False,"[0.8, 0.1, 0.1]",333,39,45,0.56,0.511,0.511,0.488,0.488,0.511,0.49,0.49,0.511,0.511,0.511
73,Multinomial Naive Bayes,active_learning,True,100,True,"[0.5, 0.25, 0.25]",207,102,108,0.631,0.648,0.648,0.643,0.643,0.648,0.644,0.644,0.648,0.648,0.648
74,Multinomial Naive Bayes,active_learning,True,100,True,"[0.6, 0.2, 0.2]",249,81,87,0.59,0.632,0.632,0.618,0.618,0.632,0.624,0.624,0.632,0.632,0.632
75,Multinomial Naive Bayes,active_learning,True,100,True,"[0.8, 0.1, 0.1]",333,39,45,0.613,0.6,0.6,0.594,0.594,0.6,0.613,0.613,0.6,0.6,0.6
76,Multinomial Naive Bayes,active_learning,True,100,False,"[0.5, 0.25, 0.25]",207,102,108,0.515,0.62,0.62,0.609,0.609,0.62,0.621,0.621,0.62,0.62,0.62
77,Multinomial Naive Bayes,active_learning,True,100,False,"[0.6, 0.2, 0.2]",249,81,87,0.621,0.667,0.667,0.658,0.658,0.667,0.671,0.671,0.667,0.667,0.667
78,Multinomial Naive Bayes,active_learning,True,100,False,"[0.8, 0.1, 0.1]",333,39,45,0.56,0.511,0.511,0.488,0.488,0.511,0.49,0.49,0.511,0.511,0.511
79,Multinomial Naive Bayes,active_learning,True,300,True,"[0.5, 0.25, 0.25]",207,102,108,0.596,0.657,0.657,0.652,0.652,0.657,0.652,0.652,0.657,0.657,0.657
80,Multinomial Naive Bayes,active_learning,True,300,True,"[0.6, 0.2, 0.2]",249,81,87,0.59,0.632,0.632,0.618,0.618,0.632,0.624,0.624,0.632,0.632,0.632
81,Multinomial Naive Bayes,active_learning,True,300,True,"[0.8, 0.1, 0.1]",333,39,45,0.613,0.6,0.6,0.594,0.594,0.6,0.613,0.613,0.6,0.6,0.6
82,Multinomial Naive Bayes,active_learning,True,300,False,"[0.5, 0.25, 0.25]",207,102,108,0.662,0.676,0.676,0.666,0.666,0.676,0.687,0.687,0.676,0.676,0.676
83,Multinomial Naive Bayes,active_learning,True,300,False,"[0.6, 0.2, 0.2]",249,81,87,0.621,0.667,0.667,0.658,0.658,0.667,0.671,0.671,0.667,0.667,0.667
84,Multinomial Naive Bayes,active_learning,True,300,False,"[0.8, 0.1, 0.1]",333,39,45,0.56,0.511,0.511,0.488,0.488,0.511,0.49,0.49,0.511,0.511,0.511
85,Multinomial Naive Bayes,active_learning,True,600,True,"[0.5, 0.25, 0.25]",207,102,108,0.596,0.657,0.657,0.652,0.652,0.657,0.652,0.652,0.657,0.657,0.657
86,Multinomial Naive Bayes,active_learning,True,600,True,"[0.6, 0.2, 0.2]",249,81,87,0.59,0.632,0.632,0.618,0.618,0.632,0.624,0.624,0.632,0.632,0.632
87,Multinomial Naive Bayes,active_learning,True,600,True,"[0.8, 0.1, 0.1]",333,39,45,0.613,0.6,0.6,0.594,0.594,0.6,0.613,0.613,0.6,0.6,0.6
88,Multinomial Naive Bayes,active_learning,True,600,False,"[0.5, 0.25, 0.25]",207,102,108,0.662,0.676,0.676,0.666,0.666,0.676,0.687,0.687,0.676,0.676,0.676
89,Multinomial Naive Bayes,active_learning,True,600,False,"[0.6, 0.2, 0.2]",249,81,87,0.621,0.667,0.667,0.658,0.658,0.667,0.671,0.671,0.667,0.667,0.667
90,Multinomial Naive Bayes,active_learning,True,600,False,"[0.8, 0.1, 0.1]",333,39,45,0.56,0.511,0.511,0.488,0.488,0.511,0.49,0.49,0.511,0.511,0.511
91,Multinomial Naive Bayes,active_learning,False,0,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.961,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
92,Multinomial Naive Bayes,active_learning,False,0,True,"[0.6, 0.2, 0.2]",4418,1471,1476,0.955,0.959,0.959,0.346,0.939,0.959,0.653,0.941,0.959,0.343,0.959
93,Multinomial Naive Bayes,active_learning,False,0,True,"[0.8, 0.1, 0.1]",5891,735,739,0.963,0.955,0.955,0.326,0.935,0.955,0.319,0.915,0.955,0.333,0.955
94,Multinomial Naive Bayes,active_learning,False,0,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.961,0.959,0.959,0.342,0.939,0.959,0.653,0.941,0.959,0.341,0.959
95,Multinomial Naive Bayes,active_learning,False,0,False,"[0.6, 0.2, 0.2]",4418,1471,1476,0.956,0.958,0.958,0.326,0.937,0.958,0.319,0.918,0.958,0.333,0.958
96,Multinomial Naive Bayes,active_learning,False,0,False,"[0.8, 0.1, 0.1]",5891,735,739,0.963,0.957,0.957,0.361,0.938,0.957,0.486,0.928,0.957,0.352,0.957
97,Multinomial Naive Bayes,active_learning,False,50,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.961,0.958,0.958,0.326,0.938,0.958,0.319,0.918,0.958,0.333,0.958
