,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
61,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.1, 0.45, 0.45]",39,186,192,0.521,0.521,0.4948,0.4948,0.521,0.5246000000000001,0.5246000000000001,0.521,0.521,0.521
62,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.5, 0.25, 0.25]",207,102,108,0.5721999999999999,0.5721999999999999,0.5508000000000001,0.5508000000000001,0.5721999999999999,0.5614,0.5614,0.5721999999999999,0.5721999999999999,0.5721999999999999
63,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.9, 0.05, 0.05]",375,18,24,0.5584,0.5584,0.5561999999999999,0.5561999999999999,0.5584,0.5944,0.5944,0.5584,0.5584,0.5584
64,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.1, 0.45, 0.45]",39,186,192,0.6135999999999999,0.6135999999999999,0.5936,0.5936,0.6135999999999999,0.599,0.599,0.6135999999999999,0.6135999999999999,0.6135999999999999
65,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.5, 0.25, 0.25]",207,102,108,0.5704,0.5704,0.5486,0.5486,0.5704,0.55,0.55,0.5704,0.5704,0.5704
66,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.9, 0.05, 0.05]",375,18,24,0.44160000000000005,0.44160000000000005,0.4162,0.4162,0.44160000000000005,0.4596,0.4596,0.44160000000000005,0.44160000000000005,0.44160000000000005
67,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.1, 0.45, 0.45]",39,186,192,0.5084,0.5084,0.4854,0.4854,0.5084,0.511,0.511,0.5084,0.5084,0.5084
68,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.5, 0.25, 0.25]",207,102,108,0.5519999999999999,0.5519999999999999,0.5244000000000001,0.5244000000000001,0.5519999999999999,0.5347999999999999,0.5347999999999999,0.5519999999999999,0.5519999999999999,0.5519999999999999
69,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.9, 0.05, 0.05]",375,18,24,0.5416000000000001,0.5416000000000001,0.5424,0.5424,0.5416000000000001,0.5676,0.5676,0.5416000000000001,0.5416000000000001,0.5416000000000001
70,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.1, 0.45, 0.45]",39,186,192,0.6032,0.6032,0.5841999999999999,0.5841999999999999,0.6032,0.5936,0.5936,0.6032,0.6032,0.6032
71,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.5, 0.25, 0.25]",207,102,108,0.5482,0.5482,0.5269999999999999,0.5269999999999999,0.5482,0.5232,0.5232,0.5482,0.5482,0.5482
72,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.9, 0.05, 0.05]",375,18,24,0.44160000000000005,0.44160000000000005,0.418,0.418,0.44160000000000005,0.45999999999999996,0.45999999999999996,0.44160000000000005,0.44160000000000005,0.44160000000000005
73,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3276,0.938,0.9578,0.32859999999999995,0.9196000000000002,0.9578,0.3338,0.9578
74,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
75,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
76,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3296,0.9377999999999999,0.9578,0.3492,0.9206,0.9578,0.3348,0.9578
